doc_type,title,subtitle,date,year,link,link_type,source
press_release,Updated assessment of links between securities settlement systems,,1999-10-07,1999,https://www.ecb.europa.eu/press/pr/date/1999/html/pr991007_2.en.html,html,json_dataset
press_release,Compendium: Collection of legal instruments,,1999-10-15,1999,https://www.ecb.europa.eu/press/pr/date/1999/html/pr991015_1.en.html,html,json_dataset
press_release,ECB Regulation on the powers of the European Central Bank to impose sanctions (ECB/1999/4),,1999-10-15,1999,https://www.ecb.europa.eu/press/pr/date/1999/html/pr991015_2.en.html,html,json_dataset
press_release,Schedule for the meetings of the Governing Council of the ECB in 1999 - Governing Council meeting on 16 December 1999 brought forward to 15 December 1999,,1999-11-03,1999,https://www.ecb.europa.eu/press/pr/date/1999/html/pr991103.en.html,html,json_dataset
press_release,Information campaign on the introduction of the euro banknotes and coins: selection of the agency,,1999-11-04,1999,https://www.ecb.europa.eu/press/pr/date/1999/html/pr991104_1.en.html,html,json_dataset
press_release,Report on the legal protection of banknotes in the EU Member States,,1999-11-09,1999,https://www.ecb.europa.eu/press/pr/date/1999/html/pr991109.en.html,html,json_dataset
press_release,Helsinki Seminar on the Accession Process,,1999-11-12,1999,https://www.ecb.europa.eu/press/pr/date/1999/html/pr991112.en.html,html,json_dataset
press_release,"Second edition of the ""Money and Banking Statistics Sector Manual""",,1999-11-15,1999,https://www.ecb.europa.eu/press/pr/date/1999/html/pr991115.en.html,html,json_dataset
press_release,Cross-border payments in TARGET: A users' survey,,1999-11-16,1999,https://www.ecb.europa.eu/press/pr/date/1999/html/pr991116.en.html,html,json_dataset
press_release,Decision of the European Central Bank appointing the members of the Anti-Fraud Committee,,1999-11-19,1999,https://www.ecb.europa.eu/press/pr/date/1999/html/pr991119.en.html,html,json_dataset
press_release,European Union balance of payments/international investment position statistical methods,,1999-12-01,1999,https://www.ecb.europa.eu/press/pr/date/1999/html/pr991201.en.html,html,json_dataset
press_release,Minimum reserve system revision of the standardised deduction from the reserve base,,1999-12-02,1999,https://www.ecb.europa.eu/press/pr/date/1999/html/pr991202_3.en.html,html,json_dataset
press_release,Review of the quantitative reference value for monetary growth,,1999-12-02,1999,https://www.ecb.europa.eu/press/pr/date/1999/html/pr991202_2.en.html,html,json_dataset
press_release,Visit by the Finnish Prime Minister,,1999-12-20,1999,https://www.ecb.europa.eu/press/pr/date/1999/html/pr991220.en.html,html,json_dataset
press_release,Eurosystem operates smoothly on 3 January 2000,,2000-01-03,2000,https://www.ecb.europa.eu/press/pr/date/2000/html/pr000103_2.en.html,html,json_dataset
press_release,Successful start of business at the ECB on 3 January 2000,,2000-01-03,2000,https://www.ecb.europa.eu/press/pr/date/2000/html/pr000103.en.html,html,json_dataset
press_release,The Eurosystem will conduct a liquidity-absorbing fine-tuning operation on 5 January 2000,,2000-01-04,2000,https://www.ecb.europa.eu/press/pr/date/2000/html/pr000104.en.html,html,json_dataset
press_release,Euro central rates and intervention rates in ERM II,,2000-01-17,2000,https://www.ecb.europa.eu/press/pr/date/2000/html/pr000117.en.html,html,json_dataset
press_release,Updated assessment of links between securities settlement systems,,2000-02-03,2000,https://www.ecb.europa.eu/press/pr/date/2000/html/pr000203_2.en.html,html,json_dataset
press_release,Blue book addendum - 1998,,2000-02-29,2000,https://www.ecb.europa.eu/press/pr/date/2000/html/pr000229.en.html,html,json_dataset
press_release,"""EU banks' income structure"" - ""Asset prices and banking stability""",,2000-04-03,2000,https://www.ecb.europa.eu/press/pr/date/2000/html/pr000403.en.html,html,json_dataset
press_release,Annual Report 1999,,2000-04-12,2000,https://www.ecb.europa.eu/press/pr/date/2000/html/pr000412_1.en.html,html,json_dataset
press_release,Annual accounts of the ECB for the year ended 31 December 1999,,2000-04-12,2000,https://www.ecb.europa.eu/press/pr/date/2000/html/pr000412_2.en.html,html,json_dataset
press_release,"Statement on the euro by Dr. Willem F. Duisenberg, President of the European Central Bank",,2000-05-05,2000,https://www.ecb.europa.eu/press/pr/date/2000/html/pr000505.en.html,html,json_dataset
press_release,Updated assessment of links between securities settlement systems,,2000-05-10,2000,https://www.ecb.europa.eu/press/pr/date/2000/html/pr000510.en.html,html,json_dataset
press_release,TARGET closing days in 2001,,2000-05-25,2000,https://www.ecb.europa.eu/press/pr/date/2000/html/pr000525_2.en.html,html,json_dataset
press_release,Schedules for the meetings of the Governing Council and the General Council of the ECB and the related press conferences in 2001,,2000-06-08,2000,https://www.ecb.europa.eu/press/pr/date/2000/html/pr000608_2.en.html,html,json_dataset
press_release,Switch to variable rate tenders in main refinancing operations: some technical details,,2000-06-16,2000,https://www.ecb.europa.eu/press/pr/date/2000/html/pr000616.en.html,html,json_dataset
press_release,Communiqué of the European Central Bank and the Bank of Greece,,2000-06-19,2000,https://www.ecb.europa.eu/press/pr/date/2000/html/pr000619.en.html,html,json_dataset
press_release,Statement on the role of the Eurosystem in the field of payment systems oversight,,2000-06-21,2000,https://www.ecb.europa.eu/press/pr/date/2000/html/pr000621_2.en.html,html,json_dataset
press_release,Visit by the Austrian Federal Chancellor,,2000-07-03,2000,https://www.ecb.europa.eu/press/pr/date/2000/html/pr000703.en.html,html,json_dataset
press_release,Production of the Euro 100 banknotes,,2000-07-11,2000,https://www.ecb.europa.eu/press/pr/date/2000/html/pr000711.en.html,html,json_dataset
press_release,Determination of the number of euro banknotes to be printed before the launch date of 1 January 2002,,2000-07-13,2000,https://www.ecb.europa.eu/press/pr/date/2000/html/pr000713.en.html,html,json_dataset
press_release,Launch of the Occasional Paper series,,2000-07-31,2000,https://www.ecb.europa.eu/press/pr/date/2000/html/pr000731.en.html,html,json_dataset
press_release,1.Financial modalities for credit institutions for the 2002 cash changeover 2. The exchange of national banknotes of other participating Member States at the national central banks,,2000-08-03,2000,https://www.ecb.europa.eu/press/pr/date/2000/html/pr000803_3.en.html,html,json_dataset
press_release,Statistical requirements of the European central bank in the field of general economic statistics,,2000-08-03,2000,https://www.ecb.europa.eu/press/pr/date/2000/html/pr000803_2.en.html,html,json_dataset
press_release,Indicative calendar for the Eurosystem's tender operations in 2001,,2000-08-31,2000,https://www.ecb.europa.eu/press/pr/date/2000/html/pr000831_2.en.html,html,json_dataset
press_release,Production of the euro 100 banknotes,,2000-08-31,2000,https://www.ecb.europa.eu/press/pr/date/2000/html/pr000831_3.en.html,html,json_dataset
press_release,Improving cross-border retail payment services - Progress report,,2000-09-14,2000,https://www.ecb.europa.eu/press/pr/date/2000/html/pr000914_2.en.html,html,json_dataset
press_release,Sales of foreign exchange interest income by the European Central Bank (ECB),,2000-09-14,2000,https://www.ecb.europa.eu/press/pr/date/2000/html/pr000914_1.en.html,html,json_dataset
press_release,The ECB announces joint intervention in the exchange markets,,2000-09-22,2000,https://www.ecb.europa.eu/press/pr/date/2000/html/pr000922.en.html,html,json_dataset
press_release,Additional reference exchange rates for the euro,,2000-09-28,2000,https://www.ecb.europa.eu/press/pr/date/2000/html/pr000928_1.en.html,html,json_dataset
press_release,Statement by the President of the European Central Bank,,2000-09-28,2000,https://www.ecb.europa.eu/press/pr/date/2000/html/pr000928.en.html,html,json_dataset
press_release,ECB labour relationships and the social dialogue with regard to the ESCB,,2000-10-05,2000,https://www.ecb.europa.eu/press/pr/date/2000/html/pr001005_2.en.html,html,json_dataset
press_release,Updated assessment of links between securities settlement systems,,2000-10-18,2000,https://www.ecb.europa.eu/press/pr/date/2000/html/pr001018.en.html,html,json_dataset
press_release,The ECB confirms intervention in the exchange markets,,2000-11-03,2000,https://www.ecb.europa.eu/press/pr/date/2000/html/pr001103.en.html,html,json_dataset
press_release,European Union balance of payments/international investment position statistical methods,,2000-11-08,2000,https://www.ecb.europa.eu/press/pr/date/2000/html/pr001108.en.html,html,json_dataset
press_release,Publication of staff economic projections,,2000-11-16,2000,https://www.ecb.europa.eu/press/pr/date/2000/html/pr001116_1.en.html,html,json_dataset
press_release,"""The single monetary policy in Stage Three: General documentation on Eurosystem monetary policy instruments and procedures"", Publication of the revised version",,2000-12-05,2000,https://www.ecb.europa.eu/press/pr/date/2000/html/pr001205.en.html,html,json_dataset
press_release,Distribution of frontloaded euro banknotes outside the euro area,,2000-12-14,2000,https://www.ecb.europa.eu/press/pr/date/2000/html/pr001214_3.en.html,html,json_dataset
press_release,Long-term calendar for TARGET closing days,,2000-12-14,2000,https://www.ecb.europa.eu/press/pr/date/2000/html/pr001214_4.en.html,html,json_dataset
press_release,Review of the quantitative reference value for monetary growth,,2000-12-14,2000,https://www.ecb.europa.eu/press/pr/date/2000/html/pr001214_2.en.html,html,json_dataset
press_release,Vienna seminar on the EU accession process on 14-15 December 2000,,2000-12-15,2000,https://www.ecb.europa.eu/press/pr/date/2000/html/pr001215.en.html,html,json_dataset
press_release,Information guide for credit institutions using TARGET,,2000-12-18,2000,https://www.ecb.europa.eu/press/pr/date/2000/html/pr001218.en.html,html,json_dataset
